Nombre;Aeropuerto Origen;Ciudad Origen;Aeropuerto Destino;Ciudad Destino
DELTA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
EASYFLY S.A;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;VANGUARDIA;VILLAVICENCIO
HELICOL;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
HELICOL;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;JORGE ISAACS;MAICAO
HELIGOLFO S.A.S;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;OLAYA HERRERA;MEDELLIN
HELISAS S.A.S;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
LANS S.A.S;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
SEARCA S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
SEARCA S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
SEARCA S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;BARACOA;MAGANGUE
SEARCA S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;BENITO SALAS VARGAS;NEIVA
SEARCA S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;OLAYA HERRERA;MEDELLIN
TAMPA CARGO S.A.S;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
CHARTER DEL CARIBE S.A.;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
HELISAS S.A.S;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
AVIANCA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;ANTONIO NARINO;PASTO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA;ANTONIO NARINO;PASTO
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
AEROREPUBLICA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROREPUBLICA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AEROSUCRE;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AIRES;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ALMIRANTE PADILLA;RIOHACHA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ALMIRANTE PADILLA;RIOHACHA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;VANGUARDIA;VILLAVICENCIO
SERVICIO AEREO A TERRITORIOS NACIONALES SATENA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;EL EMBRUJO;PROVIDENCIA
ULTRA AIR S.A.S.;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROREPUBLICA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
AIRES;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
SEARCA S.A.;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
AVIANCA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ANTONIO NARINO;PASTO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;ANTONIO NARINO;PASTO
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
EASYFLY S.A;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
AER CARIBE S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROPACA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AEROPACA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;OLAYA HERRERA;MEDELLIN
AEROREPUBLICA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AEROSUCRE;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ALMIRANTE PADILLA;RIOHACHA
DELTA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
EASYFLY S.A;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
EASYFLY S.A;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
EASYFLY S.A;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ALMIRANTE PADILLA;RIOHACHA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;BENITO SALAS VARGAS;NEIVA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;VANGUARDIA;VILLAVICENCIO
HELISAS S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
HELISAS S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
AIRES;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
HELISAS S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;OLAYA HERRERA;MEDELLIN
INTEREJECUTIVA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL ALCARAVAN;YOPAL
INTEREJECUTIVA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
RIO SUR;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
SARPA S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
SEARCA S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
SEARCA S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
SEARCA S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA
SEARCA S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;LAS BRUJAS;COROZAL
SEARCA S.A.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;OLAYA HERRERA;MEDELLIN
SERVICIO AEREO A TERRITORIOS NACIONALES SATENA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
SERVICIO AEREO A TERRITORIOS NACIONALES SATENA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ANTONIO ROLDAN BETANCOURT;CAREPA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
TAC;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
ULTRA AIR S.A.S.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
HELIGOLFO S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
ULTRA AIR S.A.S.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
HELISAS S.A.S;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
INTEREJECUTIVA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
ULTRA AIR S.A.S.;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;AEROPUERTO INTERNACIONAL RAFAEL NUNEZ;CARTAGENA
AVIANCA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ANTONIO NARINO;PASTO
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;ANTONIO NARINO;PASTO
SERVICIO AEREO A TERRITORIOS NACIONALES SATENA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO;EL CARANO;QUIBDO
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
FAST COLOMBIA SAS;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL MATECANA;PEREIRA
AEREA S.A.;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;JUAN H. WHITE;CAUCASIA
AEREA S.A.;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;OLAYA HERRERA;MEDELLIN
AIRES;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AIRES;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AIRES;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL ALFONSO BONILLA ARAGON;CALI
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL ALFREDO VASQUEZ COBO;LETICIA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL CAMILO DAZA;CUCUTA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL EL DORADO;BOGOTA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL EL EDEN;ARMENIA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL ERNESTO CORTISSOZ;BARRANQUILLA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL JOSE MARIA CORDOVA;RIONEGRO
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL PALONEGRO;BUCARAMANGA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;AEROPUERTO INTERNACIONAL SIMON BOLIVAR;SANTA MARTA
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;ALFONSO LOPEZ PUMAREJO;VALLEDUPAR
AVIANCA;AEROPUERTO INTERNACIONAL LOS GARZONES;MONTERIA;ALMIRANTE PADILLA;RIOHACHA
